density, stage 1, stage 2, stage 3, total, conv 1, conv 2, ppu 1, ppu 2
bitwidth parallel sparsity,0,16,0.5
0.5,15583,15200,199,30982,15583,15200,199,199
0.5,15127,15404,198,30729,15127,15404,206,198
0.5,15345,15186,184,30715,15345,15186,206,184
0.5,15263,15260,198,30721,15263,15260,204,198
0.5,15376,15334,204,30914,15376,15334,198,204
0.5,15419,14774,203,30396,15419,14774,206,203
0.5,15343,14764,207,30314,15343,14764,198,207
0.5,15237,15269,200,30706,15237,15269,211,200
0.5,15124,15053,208,30385,15124,15053,189,208
0.5,15195,15036,197,30428,15195,15036,202,197
bitwidth parallel sparsity,1,8,0.5
0.5,17789,18405,197,36391,17789,18405,188,197
0.5,18427,18438,207,37072,18427,18438,202,207
0.5,17851,18179,204,36234,17851,18179,208,204
0.5,18177,18526,212,36915,18177,18526,208,212
0.5,18099,18401,196,36696,18099,18401,198,196
0.5,18275,18272,206,36753,18275,18272,203,206
0.5,17903,18051,212,36166,17903,18051,209,212
0.5,17954,18096,195,36245,17954,18096,202,195
0.5,17841,18552,194,36587,17841,18552,189,194
0.5,17985,18110,205,36300,17985,18110,201,205
bitwidth parallel sparsity,2,4,0.5
0.5,24868,27265,198,52331,24868,27265,192,198
0.5,26267,25663,218,52148,26267,25663,193,218
0.5,26244,25441,202,51887,26244,25441,210,202
0.5,26924,26776,201,53901,26924,26776,202,201
0.5,26408,27949,205,54562,26408,27949,198,205
0.5,26851,26530,197,53578,26851,26530,199,197
0.5,26089,27341,200,53630,26089,27341,195,200
0.5,26167,24718,198,51083,26167,24718,210,198
0.5,26578,26055,209,52842,26578,26055,205,209
0.5,26144,27550,206,53900,26144,27550,197,206
